university,id,timestamp,event_type,year
MSU,30145,139468,0,2021
MSU,30145,330103,1,2021
MSU,30145,459445,0,2009
MSU,30145,974095,1,2009
MSU,30145,461074,0,2018
MSU,30145,488543,1,2018
MSU,30145,561168,0,2009
MSU,30145,884213,1,2009
MSU,30145,785560,0,2015
MSU,30145,876921,1,2015
MSU,30145,975996,0,2017
MSU,30145,997081,1,2017
MSU,30145,790015,0,2020
MSU,30145,923196,1,2020
MSU,30145,894569,0,2008
MSU,30145,902720,1,2008
MSU,30145,295877,0,2016
MSU,30145,463729,1,2016
MSU,35265,75098,0,2012
MSU,35265,793274,1,2012
MSU,35265,54768,0,2017
MSU,35265,513901,1,2017
MSU,35265,302917,0,2014
MSU,35265,952726,1,2014
MSU,35265,865158,0,2011
MSU,35265,976347,1,2011
MSU,35265,629345,0,2017
MSU,35265,817869,1,2017
MSU,35265,789250,0,2008
MSU,35265,886607,1,2008
MSU,35265,734658,0,2015
MSU,35265,958174,1,2015
MSU,35265,485209,0,2011
MSU,35265,672639,1,2011
MSU,35265,746100,0,2015
MSU,35265,943766,1,2015
MIPT,30518,845495,0,2017
MIPT,30518,896170,1,2017
MIPT,30518,354228,0,2019
MIPT,30518,777146,1,2019
MIPT,30518,679025,0,2019
MIPT,30518,989799,1,2019
MIPT,30518,186655,0,2010
MIPT,30518,532255,1,2010
MIPT,30518,546158,0,2015
MIPT,30518,867881,1,2015
MIPT,30518,254354,0,2014
MIPT,30518,969981,1,2014
MIPT,30518,71315,0,2022
MIPT,30518,222118,1,2022
MIPT,30518,336673,0,2021
MIPT,30518,744857,1,2021
MePhi,43820,19368,0,2020
MePhi,43820,715079,1,2020
MePhi,43820,29202,0,2013
MePhi,43820,419028,1,2013
MePhi,43820,537726,0,2017
MePhi,43820,855641,1,2017
MePhi,43820,979609,0,2010
MePhi,43820,997963,1,2010
MePhi,43820,227891,0,2019
MePhi,43820,893551,1,2019
MePhi,43820,440624,0,2018
MePhi,43820,489798,1,2018
MePhi,43820,99540,0,2012
MePhi,43820,557247,1,2012
MePhi,43820,197563,0,2016
MePhi,43820,958783,1,2016
HSE,34941,717080,0,2009
HSE,34941,747730,1,2009
HSE,34941,820003,0,2020
HSE,34941,927772,1,2020
HSE,34941,881412,0,2010
HSE,34941,978632,1,2010
HSE,34941,242935,0,2018
HSE,34941,887407,1,2018
RUDN,38696,653566,0,2012
RUDN,38696,830150,1,2012
RUDN,38696,686223,0,2020
RUDN,38696,705339,1,2020
RUDN,38696,216571,0,2012
RUDN,38696,991269,1,2012
HSE,25323,394648,0,2008
HSE,25323,536531,1,2008
HSE,25323,458578,0,2010
HSE,25323,497841,1,2010
HSE,25323,538176,0,2015
HSE,25323,848588,1,2015
MePhi,24459,268525,0,2016
MePhi,24459,425896,1,2016
MePhi,24459,971120,0,2020
MePhi,24459,992245,1,2020
MePhi,24459,149183,0,2011
MePhi,24459,853468,1,2011
MePhi,24459,684229,0,2011
MePhi,24459,783629,1,2011
MePhi,24459,560022,0,2015
MePhi,24459,775005,1,2015
MePhi,24459,586732,0,2019
MePhi,24459,698815,1,2019
MePhi,24459,910151,0,2013
MePhi,24459,921182,1,2013
MIPT,12549,938898,0,2009
MIPT,12549,948281,1,2009
MIPT,12549,56368,0,2021
MIPT,12549,212945,1,2021
MePhi,17746,67399,0,2012
MePhi,17746,415698,1,2012
MePhi,17746,367167,0,2021
MePhi,17746,616053,1,2021
MePhi,17746,437817,0,2012
MePhi,17746,911320,1,2012
MePhi,17746,59222,0,2010
MePhi,17746,875789,1,2010
MePhi,17746,775673,0,2020
MePhi,17746,986873,1,2020
MePhi,17746,596197,0,2017
MePhi,17746,860855,1,2017
MePhi,17746,732005,0,2019
MePhi,17746,757197,1,2019
BMSTU,23063,82891,0,2008
BMSTU,23063,584051,1,2008
BMSTU,23063,119407,0,2017
BMSTU,23063,926700,1,2017
BMSTU,23063,623192,0,2016
BMSTU,23063,699078,1,2016
MIPT,517,324793,0,2018
MIPT,517,535990,1,2018
MIPT,517,895196,0,2020
MIPT,517,923355,1,2020
MIPT,517,553450,0,2014
MIPT,517,906048,1,2014
MIPT,517,26095,0,2022
MIPT,517,39825,1,2022
MIPT,517,511423,0,2021
MIPT,517,984745,1,2021
HSE,46044,428024,0,2017
HSE,46044,485815,1,2017
HSE,46044,827778,0,2011
HSE,46044,890537,1,2011
HSE,46044,342023,0,2020
HSE,46044,700092,1,2020
HSE,46044,238290,0,2015
HSE,46044,967483,1,2015
HSE,29703,628020,0,2021
HSE,29703,779677,1,2021
HSE,29703,813958,0,2018
HSE,29703,822754,1,2018
HSE,29703,717879,0,2018
HSE,29703,812819,1,2018
HSE,29703,263348,0,2020
HSE,29703,489370,1,2020
HSE,29703,868488,0,2021
HSE,29703,957201,1,2021
HSE,29703,436868,0,2020
HSE,29703,547799,1,2020
MISIS,24304,123446,0,2019
MISIS,24304,970541,1,2019
MISIS,24304,540603,0,2013
MISIS,24304,913560,1,2013
MISIS,24304,81181,0,2008
MISIS,24304,630211,1,2008
MISIS,24304,908741,0,2015
MISIS,24304,914150,1,2015
BMSTU,49828,927332,0,2010
BMSTU,49828,984030,1,2010
BMSTU,49828,709469,0,2012
BMSTU,49828,896156,1,2012
BMSTU,49828,322539,0,2017
BMSTU,49828,574573,1,2017
BMSTU,49828,691495,0,2018
BMSTU,49828,850615,1,2018
BMSTU,49828,291714,0,2016
BMSTU,49828,303285,1,2016
BMSTU,49828,472332,0,2016
BMSTU,49828,787195,1,2016
BMSTU,49828,172052,0,2021
BMSTU,49828,357850,1,2021
BMSTU,49828,73883,0,2017
BMSTU,49828,786174,1,2017
BMSTU,16015,896511,0,2020
BMSTU,16015,947013,1,2020
BMSTU,16015,840295,0,2017
BMSTU,16015,976172,1,2017
BMSTU,16015,221241,0,2015
BMSTU,16015,972528,1,2015
BMSTU,16015,728022,0,2014
BMSTU,16015,731960,1,2014
BMSTU,16015,698942,0,2015
BMSTU,16015,839391,1,2015
BMSTU,16015,19066,0,2022
BMSTU,16015,734693,1,2022
BMSTU,16015,437485,0,2018
BMSTU,16015,972273,1,2018
BMSTU,16015,134856,0,2017
BMSTU,16015,301568,1,2017
BMSTU,16015,599501,0,2013
BMSTU,16015,635367,1,2013
BMSTU,16015,388465,0,2022
BMSTU,16015,445430,1,2022
RUDN,18160,549803,0,2019
RUDN,18160,715239,1,2019
RUDN,18160,577358,0,2020
RUDN,18160,817021,1,2020
RUDN,18160,715931,0,2020
RUDN,18160,902812,1,2020
RUDN,18160,482257,0,2018
RUDN,18160,977869,1,2018
RUDN,18160,178863,0,2008
RUDN,18160,484655,1,2008
RUDN,18160,786620,0,2011
RUDN,18160,797461,1,2011
MePhi,403,616588,0,2016
MePhi,403,919857,1,2016
MePhi,403,123491,0,2014
MePhi,403,387417,1,2014
MSU,35139,923945,0,2020
MSU,35139,983102,1,2020
MSU,35139,448915,0,2016
MSU,35139,951386,1,2016
MIPT,47718,680191,0,2018
MIPT,47718,736055,1,2018
MIPT,47718,570561,0,2018
MIPT,47718,757546,1,2018
MIPT,47718,199523,0,2019
MIPT,47718,222766,1,2019
MIPT,47718,961144,0,2017
MIPT,47718,969493,1,2017
MIPT,47718,515530,0,2012
MIPT,47718,834553,1,2012
MIPT,47718,866514,0,2017
MIPT,47718,937047,1,2017
MIPT,47718,252130,0,2008
MIPT,47718,278795,1,2008
MIPT,47718,815799,0,2011
MIPT,47718,872605,1,2011
MIPT,47718,456343,0,2016
MIPT,47718,941105,1,2016
BMSTU,25602,439378,0,2022
BMSTU,25602,728428,1,2022
BMSTU,25602,800164,0,2009
BMSTU,25602,921877,1,2009
BMSTU,25602,61802,0,2015
BMSTU,25602,582941,1,2015
BMSTU,25602,843416,0,2015
BMSTU,25602,937846,1,2015
BMSTU,25602,615206,0,2020
BMSTU,25602,968253,1,2020
BMSTU,25602,42424,0,2021
BMSTU,25602,306374,1,2021
BMSTU,25602,87845,0,2017
BMSTU,25602,399175,1,2017
BMSTU,25602,285569,0,2010
BMSTU,25602,882532,1,2010
BMSTU,25602,155849,0,2017
BMSTU,25602,620590,1,2017
BMSTU,25602,253717,0,2013
BMSTU,25602,560698,1,2013
MIPT,8252,569237,0,2010
MIPT,8252,725282,1,2010
MIPT,8252,75879,0,2021
MIPT,8252,835920,1,2021
MIPT,8252,516677,0,2012
MIPT,8252,781322,1,2012
MIPT,8252,499310,0,2014
MIPT,8252,538592,1,2014
MIPT,8252,894588,0,2015
MIPT,8252,964359,1,2015
MIPT,8252,773669,0,2018
MIPT,8252,915227,1,2018
MePhi,46401,385009,0,2022
MePhi,46401,414059,1,2022
RUDN,44941,686531,0,2017
RUDN,44941,928510,1,2017
RUDN,44941,489720,0,2016
RUDN,44941,725325,1,2016
RUDN,44941,623794,0,2022
RUDN,44941,813220,1,2022
RUDN,44941,684740,0,2020
RUDN,44941,767750,1,2020
RUDN,44941,764302,0,2020
RUDN,44941,956625,1,2020
RUDN,44941,515610,0,2008
RUDN,44941,936717,1,2008
RUDN,44941,638159,0,2008
RUDN,44941,847524,1,2008
RUDN,44941,271777,0,2022
RUDN,44941,724235,1,2022
RUDN,44941,919519,0,2011
RUDN,44941,925327,1,2011
RUDN,44941,905539,0,2010
RUDN,44941,968658,1,2010
MePhi,48747,604240,0,2020
MePhi,48747,959300,1,2020
MePhi,48747,514174,0,2013
MePhi,48747,574792,1,2013
MIPT,8791,589064,0,2017
MIPT,8791,971137,1,2017
MIPT,8791,58913,0,2015
MIPT,8791,834859,1,2015
MIPT,8791,294742,0,2010
MIPT,8791,551177,1,2010
MIPT,8791,490880,0,2022
MIPT,8791,959432,1,2022
MIPT,8791,941900,0,2009
MIPT,8791,951916,1,2009
MIPT,8791,311581,0,2010
MIPT,8791,608013,1,2010
MIPT,8791,627840,0,2020
MIPT,8791,978505,1,2020
MIPT,8791,239182,0,2014
MIPT,8791,612220,1,2014
MIPT,8791,53922,0,2015
MIPT,8791,481810,1,2015
MIPT,8791,686235,0,2010
MIPT,8791,737399,1,2010
HSE,24934,501063,0,2019
HSE,24934,599114,1,2019
HSE,24934,242013,0,2016
HSE,24934,532017,1,2016
HSE,24934,288008,0,2014
HSE,24934,757884,1,2014
HSE,24934,409776,0,2014
HSE,24934,654167,1,2014
HSE,24934,79718,0,2018
HSE,24934,447129,1,2018
BMSTU,14800,877163,0,2008
BMSTU,14800,964234,1,2008
BMSTU,14800,820839,0,2016
BMSTU,14800,853083,1,2016
BMSTU,14800,317093,0,2016
BMSTU,14800,551177,1,2016
BMSTU,14800,337147,0,2017
BMSTU,14800,683311,1,2017
MIPT,21831,221577,0,2016
MIPT,21831,748334,1,2016
RUDN,38723,920672,0,2016
RUDN,38723,941499,1,2016
MSU,31739,274442,0,2010
MSU,31739,482698,1,2010
MSU,31739,831265,0,2020
MSU,31739,975291,1,2020
MSU,31739,174862,0,2018
MSU,31739,924684,1,2018
MSU,31739,809436,0,2016
MSU,31739,964938,1,2016
RUDN,32319,428045,0,2009
RUDN,32319,766086,1,2009
RUDN,32319,259977,0,2013
RUDN,32319,904713,1,2013
RUDN,16676,75957,0,2020
