university,id,publication,year
HSE,48106,H14TWRWMNC,2016
HSE,48106,MSA99W6FU1,2016
HSE,48106,YSJH5S4Y95,2011
HSE,48106,02UGVSGM2I,2013
HSE,48106,2WV0AD6CI5,2018
HSE,48106,MT11E02PUJ,2020
HSE,48106,3ORLCAKQOL,2009
HSE,48106,62268L83HY,2016
HSE,48106,DL6PIKUM60,2008
HSE,48106,ZZF9SKCT8S,2020
HSE,48106,K31ODLVS26,2021
HSE,48106,1OK9H8UUOX,2016
HSE,48106,TXZDGQF1ZZ,2020
HSE,48106,6AG79Y3K64,2012
HSE,48106,UV5192JQ9F,2022
HSE,48106,6ZQLZ79RC7,2022
HSE,48106,K4JKN3WOU3,2021
HSE,48106,31EGUC9N6N,2011
HSE,48106,RZV47D6QFU,2010
HSE,48106,6YMANWZDRI,2015
HSE,48106,4KNKDXERPM,2008
HSE,48106,QOMPAT88K1,2020
HSE,48106,1YL1DJGDZV,2017
HSE,48106,S2KQIOV2DN,2022
HSE,48106,SNO8BGWOCX,2018
HSE,48106,Z30LG4YLVM,2016
BMSTU,31856,X8JCDPTA5S,2019
BMSTU,31856,JF106F5RN0,2019
BMSTU,31856,HCCY2FN5NO,2019
BMSTU,31856,GLLJT7FI96,2010
BMSTU,31856,WE6KDM82AX,2014
BMSTU,31856,4E75G9LY6D,2017
BMSTU,31856,JNOTXJ8E6Q,2013
BMSTU,31856,W825W83QO5,2008
BMSTU,31856,EZHAN6PKY7,2009
BMSTU,31856,DOKH05CSMI,2009
BMSTU,31856,ORBH5ZC938,2014
BMSTU,31856,WBZHM6GFHG,2013
BMSTU,31856,VSZAIHT6Y9,2009
BMSTU,31856,R548YV199T,2015
BMSTU,31856,Q9LYSPULUW,2014
BMSTU,31856,I5YB5FCTS5,2010
BMSTU,31856,O6XQTB6BRD,2019
BMSTU,31856,V76JQP53LN,2017
BMSTU,31856,UFW793MSLY,2011
BMSTU,31856,BUXVR3EKUG,2009
BMSTU,31856,V8WFUGYWRD,2009
BMSTU,31856,7IDB09H467,2018
BMSTU,31856,BIWYOEJKAP,2012
BMSTU,31856,WKO73V8D3T,2014
BMSTU,31856,GD8BXQHPIM,2013
BMSTU,31856,0PR696Z4FH,2009
BMSTU,31856,EC5CVA0Y9F,2009
HSE,15131,3CQRXHEOYZ,2020
HSE,15131,UCGVYE3CNF,2021
HSE,15131,YZF6IAPZ7S,2019
HSE,15131,762K9AHTCC,2019
HSE,15131,JLIFNURU9F,2021
HSE,15131,4R923DOBUX,2019
HSE,15131,6FWILCJQPD,2013
HSE,15131,BWSNWL14JM,2008
HSE,15131,L5RAZB2VSK,2012
HSE,15131,UFAX0NHT1L,2016
HSE,15131,IU84FMJ0L1,2015
HSE,15131,H9IZB0V83B,2021
HSE,15131,NQVMTVF8C3,2019
HSE,15131,H111GQL9YG,2012
HSE,15131,20AZISDXFV,2022
HSE,15131,N7QYU8NL94,2020
HSE,15131,6BHTRGUCUN,2019
HSE,15131,2MNJBWDVYL,2020
HSE,15131,DGF9EY8H0K,2022
HSE,15131,7W381Z7T4O,2009
HSE,15131,WJY7TKBEPB,2009
HSE,15131,K5F3OJZ02I,2015
HSE,15131,HQK0QAQ7B0,2014
HSE,15131,RZ8X5QOUOU,2018
MePhi,26197,70BK6CQPF3,2021
MePhi,26197,EGMT8RPVWK,2012
MePhi,26197,GS17AZ5EMH,2018
MePhi,26197,MS7JWG13FZ,2019
MePhi,26197,6T9MAJPFPR,2020
MePhi,26197,BI1RJCD4TB,2014
MePhi,26197,91AYTU2DHG,2009
MePhi,26197,71W0LXH04X,2011
MePhi,26197,H7Q5UK3LHU,2011
MePhi,26197,IBJDS6GNZZ,2010
MePhi,26197,8FMEZ9LUK3,2015
MePhi,26197,HVZBRXCSCH,2014
MePhi,26197,YHS7FTCBX4,2011
MePhi,26197,D4TLU734AW,2012
MePhi,26197,TN6QH6L32R,2012
MePhi,26197,OV8F03B8VX,2009
MePhi,26197,LBF5RKWT94,2018
MePhi,26197,4Q3JQ3LXWV,2014
MePhi,26197,EVXXGG67SE,2010
MePhi,26197,G27GB1X8IR,2012
BMSTU,20742,1BFDNKJTCB,2008
BMSTU,20742,F0APHT3IWB,2016
BMSTU,20742,KCOX7TD4K8,2020
BMSTU,20742,I0EHKOY2ML,2018
BMSTU,20742,WO13F7JLX2,2016
BMSTU,20742,6JFOG0J1QP,2010
BMSTU,20742,TOLENSV6MK,2018
BMSTU,20742,YSTRXIHXE1,2011
BMSTU,20742,W14B9ZQ0IF,2015
BMSTU,20742,XNWQPTHA40,2014
BMSTU,20742,F553BDGVUL,2009
BMSTU,20742,SCTX0867XA,2017
BMSTU,20742,2QNNKVC2R1,2019
BMSTU,20742,LLLIA0HQT8,2016
BMSTU,20742,6XYJV4TKST,2008
BMSTU,20742,GD4217F9K3,2022
BMSTU,20742,PNT8HWINUP,2020
BMSTU,20742,4C110ZVQNI,2018
BMSTU,20742,WK1Z24I9WX,2022
BMSTU,20742,BTM7XLLXC0,2009
BMSTU,20742,JU7VWVZ2I5,2015
BMSTU,20742,TOLZTE2LGA,2012
BMSTU,20742,9ASJLFHHKQ,2010
BMSTU,20742,KFVQD1I17T,2011
BMSTU,20742,M7VVFF9FMR,2020
BMSTU,20742,KL4BHDCGL5,2021
BMSTU,20742,NMELJ5HROM,2021
BMSTU,20742,64BE59NC7I,2012
BMSTU,20742,4QQLX1HXDO,2021
BMSTU,2243,3K762PI4AH,2012
BMSTU,2243,BKBR9W7HF9,2022
BMSTU,2243,OPXPY95B32,2008
MePhi,41919,SM4ADHZ4R1,2013
MePhi,41919,H4HQ1LIPRU,2017
MePhi,41919,HHI0HEWFM9,2022
MePhi,41919,URDR8VC6PF,2013
MePhi,41919,PM4TD22P0Z,2018
MePhi,41919,RKU0W0M6OK,2009
MePhi,41919,FW73U49L70,2010
MePhi,41919,S0FCRYEKTD,2011
MePhi,41919,XFRB8D1W42,2020
MePhi,41919,JIAU6W12B5,2019
MePhi,41919,BVDYTTS08Q,2019
MePhi,41919,MYBL793UU7,2008
MePhi,41919,8HD174CLDX,2017
MePhi,41919,KG3VY2EK8G,2008
MePhi,41919,1UZZRT52I0,2011
MePhi,39700,HQNESJ6JE1,2011
HSE,25560,BGRIEPX0TT,2010
HSE,25560,ALY6WLZ2CF,2012
HSE,25560,YOPD69J1RC,2009
HSE,25560,GYS57A0G9J,2014
HSE,25560,AM1HPYS1C6,2020
HSE,25560,887G5UZD19,2015
HSE,25560,AZATM8I9MD,2020
HSE,25560,YZXQ8Y8D0L,2017
HSE,10372,4479MVI5S0,2016
HSE,10372,P22DG3ZR3Y,2020
HSE,10372,7WGSVOXV4V,2012
RUDN,30484,AMTZVL692R,2010
RUDN,30484,F41E9VXXCO,2012
RUDN,30484,K4RO9JKLCB,2019
RUDN,30484,A4CWORCK43,2017
RUDN,30484,BNARNRW88V,2015
RUDN,30484,WTJGLM9VZN,2014
RUDN,30484,11JC9HF3RD,2019
RUDN,30484,TN5CBG2AO0,2019
RUDN,30484,96JDH0WH3D,2008
RUDN,30484,S8G1TSYTDY,2016
RUDN,30484,5K7IG2Z4NA,2022
RUDN,30484,GXU6FKSKHX,2020
RUDN,30484,HZ5YQJT28E,2009
RUDN,30484,TVWBBXQXAN,2021
MISIS,18184,QV3A8MTEUS,2014
MISIS,18184,M2UZX7HT9O,2012
MISIS,18184,UEPGG823DY,2008
MISIS,18184,S6MGQP7MWG,2016
MISIS,18184,9EP5CILRIN,2020
MISIS,18184,H0APY9Q9CP,2015
MSU,18029,CA2GS5KSPE,2009
MSU,18029,V3RCLSGZ9S,2011
MISIS,39396,MBWSTDO0NI,2009
MISIS,39396,HCGFWAN45R,2018
MISIS,39396,QWPAMBSHGK,2019
MISIS,39396,Y4HANHFR93,2017
MISIS,39396,HQ9N6V7CK1,2020
MISIS,39396,8GG2P4RTLB,2011
MISIS,39396,HYDQBAOC1R,2011
MISIS,39396,LHV1E8XEKB,2014
MISIS,39396,3L94XEG9TX,2010
MISIS,39396,5WQYGFTSXO,2008
MISIS,39396,YG89S9OCW2,2009
MISIS,39396,T8OXIBIHH1,2015
MISIS,39396,0QXO1VIDZ2,2009
MISIS,39396,CIR1PBC5XT,2013
MISIS,39396,BX49V4AXHG,2021
MISIS,39396,00PZDRMZWJ,2008
MISIS,39396,2WUVCJLT36,2014
MISIS,39396,NN03BWCOUY,2015
MISIS,39396,PPL2C2NKKJ,2013
MISIS,39396,KC3MXPPCDO,2008
MISIS,39396,YVR4UQZLND,2019
MIPT,48141,Y91KC2UNGB,2013
MIPT,48141,GIU81VBJOS,2022
MIPT,48141,CTOWFZ0S6X,2011
MIPT,48141,1ILIDVM1MP,2019
MIPT,48141,QYJX6SSG2K,2010
MISIS,31086,S64H4R3DZP,2016
MISIS,31086,L9DLBN7JHI,2021
MISIS,31086,TL6HYC2GJJ,2016
MISIS,31086,741VXP6NHT,2015
MISIS,31086,D0LO8N5VN6,2014
MISIS,31086,XSWTVP9G28,2014
MISIS,31086,MUNPTFQ14O,2009
MISIS,31086,SD9B2G08SW,2018
MISIS,31086,5HZLQFDWC9,2016
MISIS,31086,LK8VP9B814,2016
MISIS,10622,12ZMHTZJ5K,2014
MISIS,10622,MC0AV05JUI,2018
MISIS,10622,UDBCSC999D,2009
MISIS,10622,IRKYJK2K2E,2010
MISIS,10622,MBAV1NEKAH,2012
MISIS,10622,6ZGTZWHOTA,2021
HSE,2287,RSES47D7LE,2015
HSE,2287,OBQXMTB8RS,2013
HSE,2287,3TPR4HX76X,2017
HSE,2287,3KBI4B9H1J,2021
HSE,2287,226VS86EVL,2019
MISIS,19798,2TIVNT7ZZS,2013
MISIS,19798,PIHYTEUTKO,2021
MISIS,19798,0RIRAVE82O,2015
MISIS,19798,L3PR2RIQ3P,2008
MISIS,19798,IJR5YB8EL4,2009
MISIS,19798,02TM6ABVUL,2008
MISIS,19798,0CFNMGFXS4,2010
MISIS,19798,W8SM3DTT8J,2022
MISIS,19798,PYYPCTV2IX,2018
MISIS,19798,BYBWIKDLBC,2022
MISIS,19798,DXPTN87D4V,2020
MISIS,19798,AJG613J09T,2021
MISIS,19798,9XAREXQQ0B,2015
MISIS,19798,H1BY4O29Z0,2008
MISIS,19798,V9G4YJ69UH,2011
HSE,11102,E3L9TI25XL,2010
HSE,11102,SCTRYMNOWG,2008
HSE,11102,2DLN1YBW5L,2015
HSE,11102,CN5C8HLD6Y,2011
HSE,11102,PMV8X0NLEA,2008
HSE,11102,1NT40RT79B,2019
MISIS,26733,T9KM8GQTLP,2013
MISIS,26733,MWUEV2OAAQ,2010
MISIS,26733,D5SE4IZBZ6,2011
MISIS,26733,1CA1ZU0SKH,2016
MISIS,26733,XRPS5V7XZ4,2017
MISIS,26733,M50IFT0XFK,2020
MISIS,26733,JU9PYENRWM,2017
MISIS,26733,L6QF52VJKK,2010
MISIS,26733,MKQYXMZY35,2010
